district,state,subdivision,section,area,catdesc,catcode,total_services,billed_services,units,load
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,GANESH NAGAR,domestic,1,1,1.0,181,5.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,GRC HV VIDYANAGAR,domestic,1,2,2.0,448,8.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,L.NARAYANA NAGAR WEST,domestic,1,1,1.0,210,5.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,L.NARAYANA NAGAR WEST,non-domestic and commercial,2,1,1.0,93,6.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,LALITHA NAGAR,domestic,1,3,3.0,585,13.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,PARSIGUTTA WEST,domestic,1,1,1.0,306,5.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,PULLAIAH BAVI,domestic,1,2,2.0,678,10.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,RLY.COLONY (ADIKMET),domestic,1,3,3.0,884,11.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,S.B.H.C. TO ARTS COLL.MAIN RD,domestic,1,4,4.0,1728,20.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,S.B.H.C. TO ARTS COLL.MAIN RD,non-domestic and commercial,2,1,1.0,624,14.0
Hyderabad central,Azamabad,BARKATPURA,Vidya nagar,WARASIGUDA (SOUTH),domestic,1,1,1.0,283,5.0
Hyderabad central,Azamabad,VST,Musheerabad,BAKARAM,domestic,1,1,1.0,198,2.0
Hyderabad central,Azamabad,VST,Musheerabad,BAKARAM,non-domestic and commercial,2,1,1.0,526,9.0
Hyderabad central,Azamabad,VST,Musheerabad,BEKARY PT,domestic,1,2,2.0,719,10.0
Hyderabad central,Azamabad,VST,Musheerabad,CTMTR,domestic,1,1,1.0,220,20.0
Hyderabad central,Azamabad,VST,Musheerabad,CTMTR,industrial,3,2,2.0,3275,73.5
Hyderabad central,Azamabad,VST,Musheerabad,GEMINI COLONY,domestic,1,4,4.0,1692,20.0
Hyderabad central,Azamabad,VST,Musheerabad,GRC HV MUSHEERABAD,domestic,1,2,2.0,1365,20.0
Hyderabad central,Azamabad,VST,Musheerabad,KRISHNA COLONY,domestic,1,1,1.0,86,2.0
Hyderabad central,Azamabad,VST,Musheerabad,MEDIBAVI BASTHI,domestic,1,2,2.0,832,11.0
Hyderabad central,Azamabad,VST,Musheerabad,MEDIBAVI BASTHI,non-domestic and commercial,2,1,1.0,444,6.0
Hyderabad central,Azamabad,VST,Musheerabad,PAVITRA NAGAR(SHUTTER PT AREA),domestic,1,4,4.0,1438,18.0
Hyderabad central,Azamabad,VST,Musheerabad,PUNJAB NATIONAL,domestic,1,2,2.0,646,10.0
