circle,division,subdivision,section,area,catdesc,catcode,totservices,billdservices,units,load
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KRISHNA NAGAR COLONY,DOMESTIC,1,18,18,5413,77
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,"KRISHNA NAGAR(RD:3,6,9&10)",DOMESTIC,1,4,4,1080,18
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,"KRISHNA NAGAR(RD:3,6,9&10)",NON-DOMESTIC AND COMMERCIAL,2,1,1,239,4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,KRISHNAVENI NAGAR,DOMESTIC,1,1,1,307,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,LAXMINAGAR COLONY,DOMESTIC,1,6,6,2712,30
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SRINIVAS NAGER,DOMESTIC,1,1,1,297,5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,SUPABHAT TOWN SHIP PHASE-4,DOMESTIC,1,1,1,417,5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VIHARIKA COLONY,DOMESTIC,1,1,1,462,5
HABSIGUDA,KEESARA,GHATKESAR,NARAPALLY,VINAYAK NAGER MEDIPALLY,DOMESTIC,1,3,3,868,13
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,ANNAPURNACOLONY,DOMESTIC,1,3,3,2090,20
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALAJI ANJANDRI (COLONY),DOMESTIC,1,1,1,684,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALAJI NAGAR,DOMESTIC,1,9,9,3133,43
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BALLEPU ENCLAVE,DOMESTIC,1,4,4,1480,16.24
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BANK COLONY,DOMESTIC,1,2,2,591,16
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BANK COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,109,3
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BANK COLONY-II,DOMESTIC,1,2,2,547,13
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BHAVANI NAGAR,DOMESTIC,1,8,8,1992,25.8
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,BUDHA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,1,1,1602,20
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CANARA NAGAR,DOMESTIC,1,2,2,784,10.4
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHANNA REDDY THOTA,DOMESTIC,1,6,6,2783,31
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHANNA REDDY THOTA,NON-DOMESTIC AND COMMERCIAL,2,2,2,1434,20
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHENNA REDDY COLONY,GENERAL PURPOSE,7,1,1,34,2
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,CHENNA REDDY ENCELAVE,DOMESTIC,1,1,1,243,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DEVI SRI HOMES,DOMESTIC,1,1,1,144,3
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DIVYA NAGAR,DOMESTIC,1,43,43,22487,244.6
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DREAM HOMES,DOMESTIC,1,6,6,2167,30
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,DREAM HOMES,NON-DOMESTIC AND COMMERCIAL,2,1,1,456,8
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GANESH NAGAR,DOMESTIC,1,2,2,711,13
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GAYATHRI NAGAR PHASE-II,DOMESTIC,1,5,5,1488,19
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GAYATHRI NAGAR PHASE-II,NON-DOMESTIC AND COMMERCIAL,2,1,1,299,7
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,GAYATRI NAGAR,DOMESTIC,1,1,1,290,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,DOMESTIC,1,2,2,2009,40
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,NON-DOMESTIC AND COMMERCIAL,2,2,2,1336,60
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,INDUSTRIAL,3,1,1,114,36.75
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,HV PEERZADIGUDA,GENERAL PURPOSE,7,1,1,63,2
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,KACHIVANI SINGARAM,DOMESTIC,1,3,3,860,9
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,KURMA NAGAR -II,DOMESTIC,1,1,1,390,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,M K NAGAR,DOMESTIC,1,2,2,593,7
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,MAHESHWARI COLONY,DOMESTIC,1,1,1,334,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,MARUTHI NAGAR,DOMESTIC,1,5,5,1796,25
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,MUTHAVALLIGUDA,DOMESTIC,1,1,1,0,4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MAHALAXMI TEMPLE,DOMESTIC,1,2,2,979,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MANGAPURAM,DOMESTIC,1,9,9,3283,33.24
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MANGAPURAM COLONY (NORTH),DOMESTIC,1,4,4,1298,20
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,MOULAALI,NON-DOMESTIC AND COMMERCIAL,2,1,1,939,15
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NAVODAYA NAGAR,DOMESTIC,1,1,1,423,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NET METERS,DOMESTIC,1,30,30,6882,134
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NET METERS,NON-DOMESTIC AND COMMERCIAL,2,3,3,926,22.83
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NET METERS,INDUSTRIAL,3,1,1,159,60.32
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NET METERS,GENERAL PURPOSE,7,2,2,753,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NEW HANUMAN NAGAR,DOMESTIC,1,1,1,203,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NEW SREENAGAR COLONY,DOMESTIC,1,1,1,276,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,NEW SREENAGAR COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,403,17
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,OLD MOULALI,DOMESTIC,1,1,1,518,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,OLD MOULALI,GENERAL PURPOSE,7,1,1,1,2
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,R.T.C.COLONY,DOMESTIC,1,5,5,1581,25
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,RAGHAVENDRA NAGAR,DOMESTIC,1,6,6,2375,28.7
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,SARDARPATEL NAGAR,DOMESTIC,1,6,6,2345,29.6
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,SATYAGIRI COLONY,DOMESTIC,1,1,1,236,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,TIRUMALA NAGAR,DOMESTIC,1,6,6,2170,29.6
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,UPPERGUDA,DOMESTIC,1,8,8,2594,34
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,VASANTHAVIHAR COLONY,DOMESTIC,1,1,1,521,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,VENKATESHWARA NAGAR,DOMESTIC,1,5,5,1780,19
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,VENKATESHWARA NAGAR,NON-DOMESTIC AND COMMERCIAL,2,2,2,103,8
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,VENKATESHWARANAGAR-II,DOMESTIC,1,8,8,2462,33
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,MOULAALI,ZTS TIRMAL NAGAR,DOMESTIC,1,6,6,1129,29.5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,AMBEDKAR NAGAR GYM/BHEEM RAO,DOMESTIC,1,2,2,231,4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,ANTHAIAH COLONY/BIKSHAPATHI,DOMESTIC,1,1,1,351,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,BALAJI COLONY/SRISAILAM ,DOMESTIC,1,2,2,350,6
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,BRINDAVAN BALAJI TMPLANE/,DOMESTIC,1,3,3,970,17.9
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,BRINDAVAN COLONY/,DOMESTIC,1,3,3,904,12
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,DEFENCE CLNY(NEREDMET)BIKSHAPA,DOMESTIC,1,3,3,1207,22
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,G.K.COLONY/BIKSHAPATHI,DOMESTIC,1,3,3,1174,16
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,GEETHA NAGAR,DOMESTIC,1,4,4,1515,26
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,GEETHA NGR 2,DOMESTIC,1,7,7,2402,41
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,J K COLONY,DOMESTIC,1,3,3,462,8.21
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,NARSIMHA REDDY COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,341,7
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,NEW SAI NAGAR,DOMESTIC,1,2,2,715,8
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,NEW SRI RAM NAGAR,DOMESTIC,1,1,1,389,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,OLD VILLAGE MAIN ROAD,DOMESTIC,1,2,2,892,10
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,PARVATHAPUR,DOMESTIC,1,15,15,5349,78
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,PEERJADIGUDA,NON-DOMESTIC AND COMMERCIAL,2,1,1,2278,45
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,PEERZADIGUDA (VILLAGE),DOMESTIC,1,2,2,415,8.27
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,PRIMARY SCHOOL (ERRA QUARTERS),DOMESTIC,1,1,1,0,1
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,RAM CHANDRA REDDY VENTURE,DOMESTIC,1,3,3,752,15
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,RAMAKRISHNA NAGAR,DOMESTIC,1,2,2,350,7
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,RAYANCHA COLONY,DOMESTIC,1,5,5,1387,23.24
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,RK NEWS,DOMESTIC,1,18,18,6005,95
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SAI AISHWARYA 1,DOMESTIC,1,14,14,3467,61.24
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SAI KRISHNA NAGAR,DOMESTIC,1,1,1,370,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SAI NAGAR,DOMESTIC,1,4,4,1480,20
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SAI PRIYA PARVATHAPURAM,DOMESTIC,1,6,6,2550,35
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SAIBABA TEMPLE STREET,DOMESTIC,1,9,9,3102,39
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SATYANARAYANAPURAM,DOMESTIC,1,14,14,4592,71.09
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SATYANARAYANAPURAM,GENERAL PURPOSE,7,1,1,432,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SHANKAR NAGAR-I,DOMESTIC,1,4,4,780,24
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SHANKAR NAGAR-II,DOMESTIC,1,1,1,373,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SHANKAR NAGAR-IV (BABA TEMPEL),DOMESTIC,1,2,2,721,10
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SHIVA SAI NAGAR,DOMESTIC,1,18,18,5225,87
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SHREEDA HOMES,DOMESTIC,1,1,1,528,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SRI NAGAR COLONY,DOMESTIC,1,6,6,2019,28
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SRI NAGAR COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,0,55
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SRI RAM NAGAR COLONY,DOMESTIC,1,1,1,206,5
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,SRI RAMA RTC COLONY,DOMESTIC,1,2,2,517,6
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,UPPAL HILLS,DOMESTIC,1,2,2,715,8.27
HABSIGUDA,KEESARA,GHATKESAR,PEERJADIGUDA,VISHNUPURI COLONY,DOMESTIC,1,3,3,889,15
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"ARUNDHATI NGR, INDIRAGANDHI ST",DOMESTIC,1,1,1,0,4
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,B.N.SAIBABAKAMAN&MARKETROAD,DOMESTIC,1,2,2,607,8.24
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"B.NAGAR.CPI COLONY,&MAINROAD",DOMESTIC,1,3,3,630,13.24
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BALAJI NAGAR(BAJRANG NAGAR),DOMESTIC,1,1,1,133,3
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BALAJI NAGAR(JYOTHI COLONY),DOMESTIC,1,1,1,313,3
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BALAJI NAGAR(SUKKAMA KUNTA),DOMESTIC,1,1,1,250,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,J K COLONY NORTH,DOMESTIC,1,1,1,294,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,K K NAGAR VENTURE,DOMESTIC,1,3,3,1167,13.36
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,K K NAGAR(NORTH),DOMESTIC,1,3,3,892,15
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KAKATIYA NAGAR (E),DOMESTIC,1,8,8,1782,43
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KAKATIYA NAGAR (W),DOMESTIC,1,5,5,1655,19.4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KAKATIYA NAGAR SOUTH,DOMESTIC,1,3,3,1304,15
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KAKTIYANAGAR(W),DOMESTIC,1,3,3,577,9
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KK NAGAR (W) TEMPLE LINE,DOMESTIC,1,3,3,707,11.4
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,KK NAGAR NORTH 2,DOMESTIC,1,1,1,98,2
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,MADHURA NAGAR/SHIVA,DOMESTIC,1,1,1,186,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,MADHURA NAGAR/SHIVA,NON-DOMESTIC AND COMMERCIAL,2,2,2,879,13
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,MADHURANGR(MAINRD)/SHIVA KUMAR,DOMESTIC,1,7,7,2876,34
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,"MAJID AREA,AMBEDKER NGR/BHEEM ",DOMESTIC,1,3,3,540,9
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,MATHRUPURI COLONY/SRISAILAM ,DOMESTIC,1,3,3,1158,13
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,"NEREDMET HV,ST.LIGHT&PWS",DOMESTIC,1,2,2,2281,45
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,"NEREDMET HV,ST.LIGHT&PWS",NON-DOMESTIC AND COMMERCIAL,2,1,1,324,7
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,"NEREDMET HV,ST.LIGHT&PWS",INDUSTRIAL,3,1,1,450,15
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,NET METERS,DOMESTIC,1,46,46,11357,257
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,NET METERS,NON-DOMESTIC AND COMMERCIAL,2,1,1,84,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,NET METERS,GENERAL PURPOSE,7,2,2,843,35
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,OFCR CLY WATER TANKB,DOMESTIC,1,2,2,713,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,OFFICERS COLONY,DOMESTIC,1,4,4,1322,21
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,PREM NAGAR COLONY/BIKSHAPATHI,DOMESTIC,1,2,2,923,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K PURAM,DOMESTIC,1,2,2,599,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K PURAM,NON-DOMESTIC AND COMMERCIAL,2,2,2,92,50
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K.H. COLONY,DOMESTIC,1,3,3,1206,15
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K.H.SOCIETY,DOMESTIC,1,2,2,534,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,R.K.H.SOCIETY - II,DOMESTIC,1,12,12,3612,49
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,RAGHAVENDRA NGR II/SRISAILAM ,DOMESTIC,1,8,8,2512,37
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,RENUKA NAGAR 1,DOMESTIC,1,4,4,1281,16
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,RENUKA NAGAR TEMPLE LINE,DOMESTIC,1,1,1,643,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,ROHINI COLONY/UPENDER REDDY AR,DOMESTIC,1,5,5,1692,23.24
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAI NAGAR,DOMESTIC,1,2,2,777,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAINATH PURAM,DOMESTIC,1,13,13,4466,74.65
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BALAJINAGAR HV,DOMESTIC,1,4,4,1600,18
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BALAJINAGAR(BIG MASZID),DOMESTIC,1,1,1,485,5
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,BRINDAVAN COLONY,DOMESTIC,1,2,2,401,6.2
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,"JOJAIAH DTR, MAIN ROAD",DOMESTIC,1,2,2,765,17
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,KALYANSULOCHANA ENCLAVE,DOMESTIC,1,4,4,1664,36
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,LAPRICI COLONY,NON-DOMESTIC AND COMMERCIAL,2,1,1,118,4
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MAHANKALI ROAD,DOMESTIC,1,3,3,637,13
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MAHANKALI ROAD,NON-DOMESTIC AND COMMERCIAL,2,1,1,401,5
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MALKARAM HV NAGARAJU,NON-DOMESTIC AND COMMERCIAL,2,1,1,49,18
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MALKARAM HV NAGARAJU,GENERAL PURPOSE,7,3,3,525,24
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MALKARAM LONG SERVICES,DOMESTIC,1,1,1,88,4
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,MARVADI LINE,DOMESTIC,1,1,1,422,5
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SANTOSH NAGAR(HANUMAN TEMPLE),DOMESTIC,1,3,3,1486,14
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,SOLAR SERVICES,DOMESTIC,1,8,8,2679,45
HABSIGUDA,KEESARA,KEESARA,BALAJI NAGAR,VK ENCLAVE,DOMESTIC,1,9,9,3282,48
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,BALAJI NAGAR&LAXMI NAGAR,DOMESTIC,1,1,1,70,3
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,BHAVANINAGAR,DOMESTIC,1,1,1,346,3.24
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,JOUNNALIST & KRISHNA NAGAR,DOMESTIC,1,1,1,395,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,LAXMI NGR II & EXTN ,DOMESTIC,1,1,1,79,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,MLR PHASE 2,DOMESTIC,1,1,1,0,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,RAMANA NAGAR & LAKSHMI AVENUE,DOMESTIC,1,3,3,1121,15
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SAI BRUNDAVAN COLONY,DOMESTIC,1,1,1,665,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SAI PRIYA COLONY,DOMESTIC,1,1,1,149,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SHIVANADA PURI COLONY,DOMESTIC,1,1,1,184,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SOLAR SERVICES,DOMESTIC,1,354,354,130218,1673.02
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SOLAR SERVICES,NON-DOMESTIC AND COMMERCIAL,2,8,8,3279,98
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SOLAR SERVICES,GENERAL PURPOSE,7,3,3,481,20
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,SRI LALITHASAI BAR TO MUTTYAM,DOMESTIC,1,1,1,192,5
HABSIGUDA,KEESARA,KEESARA,DAMMAIGUDA,VEDADRI NGR & SNEHAPURI COLONY,DOMESTIC,1,1,1,450,5
HABSIGUDA,KEESARA,KEESARA,KEESARA, MAIN ROAD SHINE HOSIPITAL,DOMESTIC,1,1,1,404,4
HABSIGUDA,KEESARA,KEESARA,KEESARA,AKSHAYA ENCLAVE,DOMESTIC,1,2,2,942,8
HABSIGUDA,KEESARA,KEESARA,KEESARA,ANKIREDDY PALLY,DOMESTIC,1,1,1,0,5
HABSIGUDA,KEESARA,KEESARA,KEESARA,ANKIREDDYPALLI KEESARA GUTTA,INDUSTRIAL,3,1,1,404,45
HABSIGUDA,KEESARA,KEESARA,KEESARA,ANKIREDDYPALLI KEESARA GUTTA,GENERAL PURPOSE,7,1,1,1080,9
HABSIGUDA,KEESARA,KEESARA,KEESARA,ARUNDHATHI COLONY,DOMESTIC,1,6,6,1799,28
HABSIGUDA,KEESARA,KEESARA,KEESARA,ARUNDHATI SCHOOL & THEATRE,DOMESTIC,1,1,1,509,6
HABSIGUDA,KEESARA,KEESARA,KEESARA,AYYAPPA NAGAR,DOMESTIC,1,1,1,185,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAINIK VIHAR ROAD NO 2/SHIVA K,DOMESTIC,1,2,2,667,10
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAINIK VIHAR/SHIVA KUMAR,DOMESTIC,1,4,4,1370,20
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAMATHA NAGAR,DOMESTIC,1,8,8,2586,36.42
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SAPTAGIRI COLONY/BHEEM RAO ART,DOMESTIC,1,1,1,561,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SHIVA NAGAR COLONY/UPENDER RED,DOMESTIC,1,1,1,570,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SREE COLONY/RANGA REDDY,DOMESTIC,1,1,1,448,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SREE COLONY/RANGA REDDY,NON-DOMESTIC AND COMMERCIAL,2,1,1,724,14
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SREECOLONY II/RANGA REDDY,DOMESTIC,1,2,2,507,8
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SREECOLONY(SOUTH)/RANGA REDDY,DOMESTIC,1,1,1,493,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,SREECOLONY(SOUTH)/RANGA REDDY,NON-DOMESTIC AND COMMERCIAL,2,1,1,252,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,TELECOM COLONY/BHEEM RAO,DOMESTIC,1,4,4,1080,20.6
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,"TEMPLE LANE,SAI NGR",DOMESTIC,1,1,1,128,3
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,VENKATESHWAR NGR,DOMESTIC,1,4,4,1140,18
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,VENKATESHWAR NGR,GENERAL PURPOSE,7,1,1,286,5
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,VINOBA NAGAR/UPENDER REDDY ART,DOMESTIC,1,1,1,131,1
HABSIGUDA,SAINIKPURI,A S RAO NAGAR,NEREDMET,VIVEKANANDA PURAM -1/A ANIL KU,DOMESTIC,1,5,5,2143,28
